Dataset,Software,Runtime,Memory
Human Gut,metaMDBG,39.95,13.467
Human Gut,hifiasm_meta,42.95,163.421
Human Gut,metaflye,43.5,129.708
Human Gut,rust-mdbg,3.05,11.937
Anaerobic digester,metaMDBG,97,35.662
Anaerobic digester,hifiasm_meta,1,1
Anaerobic digester,metaflye,187.71,457.665
Anaerobic digester,rust-mdbg,1,1
Sheep Gut,metaMDBG,108.45,30.353
Sheep Gut,hifiasm_meta,587.45,810.475
Sheep Gut,metaflye,153.45,438.876
Sheep Gut,rust-mdbg,8.3,22.466
