Dataset	Sequencing Platform	Assembler	Clipping with 10x coverage	Clipping with 10x coverage per 100Mbp	Regions larger than 1000 bp with zero coverage	Regions larger than 1000 bp with zero coverage per 100Mbp	>1Mb linear contigs	>1Mb contaminated linear contigs	>1Mb contaminated linear contigs fraction	>1Mb circular contigs	>1Mb contaminated circular contigs	>1Mb contaminated circular contigs fraction	>1Mb linear contig contamination	>1Mb circular contig contamination
ONT_Microflora	Nanopore	myloasm_0.5.1	60	0.8328293565958733	402	5.579956689192351	284	15	0.053	58	0	0.0	0.05;0.8;0.0;0.01;0.04;0.1;0.02;0.03;1.51;1.0;0.12;0.14;0.0;0.03;0.13;0.04;0.02;0.02;0.0;0.51;0.0;0.0;0.03;0.01;0.17;0.0;0.29;0.01;0.01;0.0;7.85;0.14;0.0;0.3;0.03;0.23;0.04;0.1;0.08;0.02;0.11;0.24;0.02;0.03;0.0;0.0;0.01;0.21;0.17;0.0;0.0;0.02;0.05;0.0;0.03;0.15;0.06;5.05;0.0;0.0;0.37;0.04;0.12;0.12;0.01;0.02;0.44;0.64;11.77;0.71;0.08;0.0;0.44;0.05;0.12;0.01;0.18;0.05;0.01;0.08;0.05;0.05;0.14;0.84;8.4;0.01;1.89;0.05;0.02;2.12;0.18;0.0;4.94;0.01;0.03;0.92;0.04;24.98;0.02;21.83;0.08;0.02;6.87;0.0;0.11;0.07;0.08;0.13;0.06;0.01;1.44;0.03;0.03;2.41;0.08;0.21;0.45;0.01;0.62;0.06;0.03;0.0;0.01;0.26;0.11;1.38;0.21;0.01;1.76;0.12;0.48;0.13;0.01;0.0;0.08;0.0;0.04;0.01;0.0;0.0;0.01;0.0;0.35;0.0;0.06;0.0;0.22;0.08;19.71;0.1;0.0;0.16;0.26;0.05;0.09;4.37;0.09;0.34;0.3;0.0;0.17;0.0;0.11;0.16;0.27;0.09;0.01;0.11;1.22;0.0;0.05;1.06;0.05;0.28;0.08;0.26;0.01;0.07;0.01;0.5;0.04;12.5;0.04;18.01;0.0;0.0;3.26;0.05;0.02;0.03;0.49;0.0;0.23;0.09;0.75;0.0;0.0;0.0;5.27;0.01;0.01;0.88;0.15;0.2;2.09;0.16;0.13;0.07;0.01;0.06;0.49;0.21;0.01;0.25;0.0;0.04;0.75;0.11;0.08;0.06;92.85;0.13;0.32;0.58;0.08;4.32;6.85;9.63;0.0;0.18;0.0;0.34;0.0;0.05;0.0;0.0;0.03;2.45;0.07;0.18;0.39;0.01;0.16;0.37;1.5;0.0;0.27;0.01;1.18;0.0;0.12;0.09;0.17;0.29;22.89;0.0;0.03;0.02;0.02;0.0;0.01;0.02;0.08;0.07;0.05;0.1;0.13;0.02;0.3;0.53;1.76;0.0;0.02;0.0;0.08;0.03;1.27;2.3;0.03;0.0;3.34;0.0;2.16;0.0	1.13;0.28;0.04;0.0;0.17;0.0;0.07;0.77;0.05;0.02;0.0;0.05;0.85;0.08;0.13;0.0;0.23;3.4;3.57;0.46;0.06;0.0;3.3;1.46;2.21;0.1;0.0;0.14;0.05;0.41;0.02;0.17;0.15;0.1;0.01;0.05;0.13;0.01;0.03;0.05;0.45;0.18;0.03;0.32;0.0;0.93;0.07;0.0;0.26;0.01;0.04;0.4;0.12;0.04;0.41;0.0;0.11;0.0
ONT_Microflora	Nanopore	metaflye	556	10.137269103704229	1431	26.09070519316682	121	0	0.0	0	0	0	0.13;0.06;0.22;0.04;0.01;0.23;0.04;1.33;0.0;0.12;0.04;0.0;0.01;0.05;0.0;0.04;0.01;0.1;0.01;0.18;0.31;0.01;0.08;0.02;0.12;0.0;0.05;0.0;1.15;0.55;0.16;0.02;0.82;0.09;0.1;0.0;0.35;0.75;0.19;0.0;0.03;0.13;0.15;0.15;0.02;0.24;0.04;0.65;0.0;0.39;0.34;0.54;0.02;0.0;0.41;0.06;0.0;0.0;0.02;0.01;0.05;0.03;0.1;0.11;0.52;0.0;0.11;0.11;0.07;0.13;0.5;0.0;0.0;0.1;0.23;0.0;0.22;0.05;0.02;0.02;0.0;0.01;0.04;0.17;0.06;0.05;0.11;0.0;0.12;0.03;0.58;0.42;0.48;0.02;0.0;0.01;0.13;0.09;0.05;0.42;0.16;0.06;0.08;0.03;0.09;0.02;0.01;0.14;0.05;0.03;0.03;2.08;0.1;0.08;0.08;0.0;0.09;0.0;0.03;1.37;0.03	
HIFI_Gut_1	Hifi	metaMDBG_1.4	5	0.7107996542454399	1	0.14215993084908796	116	1	0.009	26	0	0.0	3.96;2.23;0.18;0.03;0.54;3.25;0.5;0.51;0.14;0.44;0.45;0.55;0.03;0.25;0.2;0.52;0.22;2.04;0.05;0.0;0.22;0.0;1.51;0.08;0.0;0.27;0.07;0.0;0.63;0.4;0.14;0.04;0.03;0.34;0.59;0.12;0.12;0.69;0.14;0.03;0.09;5.07;0.0;0.31;0.06;0.34;0.06;1.17;0.06;0.68;0.04;0.04;0.23;0.51;0.36;0.0;0.5;0.54;1.53;0.5;4.11;0.05;0.08;0.0;0.18;0.05;0.02;0.05;0.46;0.4;0.09;0.02;0.21;0.27;0.05;0.22;0.61;1.02;0.05;0.0;0.11;0.16;0.0;1.97;0.14;1.27;0.04;0.0;0.01;0.4;0.49;0.37;0.14;0.06;0.1;0.18;0.04;0.86;0.1;0.13;0.01;0.52;0.48;0.65;0.12;0.05;0.55;0.24;0.95;0.11;0.03;0.01;0.79;0.36;0.18;0.17	0.4;0.82;0.57;0.42;0.01;0.68;1.09;0.12;0.0;0.22;0.13;3.16;0.84;1.34;0.0;0.47;0.13;0.88;0.36;0.22;0.44;0.06;0.09;1.12;0.42;0.33
HIFI_Gut_1	Hifi	myloasm_0.5.1	21	2.61539570140512	49	6.10258996994528	128	13	0.102	39	0	0.0	0.22;3.2;1.45;0.1;7.45;0.73;0.03;3.87;0.1;0.0;10.53;1.66;0.01;0.35;0.24;0.07;0.51;0.58;0.26;0.04;0.13;0.88;0.04;0.14;0.07;28.35;0.15;1.48;0.2;1.53;53.76;0.08;1.09;0.03;0.13;1.01;0.62;0.48;0.1;0.02;0.03;0.13;1.69;0.08;3.62;0.59;1.91;0.03;0.09;0.56;0.03;0.12;0.17;1.75;2.95;0.14;0.61;2.34;0.86;2.07;22.51;0.04;0.16;0.29;0.32;0.24;0.01;0.1;3.69;0.0;4.54;0.2;0.32;0.03;1.9;0.07;0.66;0.73;0.54;10.08;0.43;0.53;6.82;0.19;0.5;0.19;0.22;0.0;0.36;0.79;0.21;0.49;0.61;17.83;0.09;0.09;0.15;0.39;0.32;0.26;0.01;0.33;27.13;0.06;8.79;0.34;0.79;0.43;0.22;0.2;0.0;0.35;0.14;0.74;6.55;0.23;0.45;0.81;33.01;0.12;0.49;0.71;0.21;8.35;0.1;0.48;0.05;2.02	0.06;0.44;0.1;0.75;3.31;0.0;0.44;0.51;0.22;0.39;0.88;0.11;1.12;0.91;0.16;0.47;0.16;0.13;0.92;0.09;0.32;2.04;3.16;0.16;0.0;0.06;1.06;0.46;0.32;0.42;0.0;0.68;0.13;0.07;0.6;0.1;1.38;0.82;0.14
HIFI_Gut_1	Hifi	metaflye	16	2.086840164975462	163	21.259684180687522	103	0	0.0	13	0	0.0	0.02;0.02;0.11;0.12;0.17;0.02;0.09;0.08;0.07;0.03;0.12;0.13;0.04;0.07;0.01;0.03;0.32;0.37;0.07;1.29;1.27;0.52;0.18;0.82;0.36;0.04;0.14;0.03;0.55;0.06;0.66;0.77;1.11;0.17;0.0;0.23;0.13;0.44;0.13;3.21;0.15;0.23;0.0;0.3;0.48;0.0;0.19;0.95;0.18;0.1;0.01;0.17;0.35;3.16;0.0;0.04;0.05;0.04;0.1;0.06;0.14;0.13;0.0;0.2;0.04;0.05;0.04;0.23;0.03;0.0;0.4;0.1;1.16;0.92;0.06;0.39;0.0;0.21;0.24;0.01;0.18;0.04;2.04;0.56;0.08;0.0;1.38;0.25;0.4;0.05;0.78;0.2;0.14;0.78;0.01;0.67;0.01;0.04;0.01;0.72;0.35;0.21;0.11	0.17;0.42;1.12;0.06;1.09;0.8;0.13;0.42;0.44;0.33;1.33;0.03;0.46
HIFI_Gut_2	Hifi	metaMDBG_1.4	1	0.09929128364019718	3	0.29787385092059154	122	4	0.033	29	1	0.034	0.16;0.46;0.0;0.03;0.06;0.26;0.48;0.22;0.0;0.45;2.04;10.94;0.0;0.25;0.19;0.99;0.06;0.04;1.73;0.36;0.23;0.52;0.08;0.13;4.12;0.02;0.2;0.72;0.23;9.17;0.29;0.16;0.15;0.27;0.39;0.07;0.66;0.18;1.19;0.26;3.25;0.14;0.06;0.29;3.65;0.09;0.11;0.07;0.86;10.32;0.01;0.03;0.92;0.51;1.03;0.04;0.62;0.18;0.01;0.32;0.77;0.22;0.86;0.14;0.88;0.53;0.74;0.0;0.05;0.17;0.88;0.01;0.47;6.3;0.31;0.23;1.66;1.01;0.0;0.17;0.22;0.0;0.25;0.19;0.33;0.01;0.21;0.5;0.07;0.41;0.34;0.23;0.13;0.15;0.1;0.03;0.02;0.1;0.14;1.14;0.0;0.11;0.11;0.61;0.37;0.36;0.05;1.05;0.12;0.61;0.0;1.22;0.73;0.3;0.16;0.0;0.19;0.12;1.31;0.09;0.09;0.11	0.2;1.24;0.16;0.59;1.28;0.58;0.53;0.17;0.18;2.55;0.77;1.8;0.86;7.16;0.23;1.85;1.16;0.63;0.13;2.56;1.01;1.64;0.51;0.38;1.37;0.14;0.95;3.98;0.94
HIFI_Gut_2	Hifi	myloasm_0.5.1	5	0.4026838226039496	124	9.98655880057795	170	25	0.147	50	0	0.0	0.02;0.01;0.16;0.25;0.0;0.61;0.13;1.26;4.26;0.0;0.09;0.02;0.49;66.38;0.0;0.03;0.68;0.0;0.81;0.32;0.07;0.1;0.31;0.12;0.32;0.28;0.04;26.31;0.05;0.06;1.38;0.14;6.74;0.0;0.04;6.6;0.29;1.89;0.27;0.04;0.18;0.81;0.12;0.42;1.11;0.45;12.9;0.19;4.37;9.29;0.37;6.51;12.07;9.46;0.48;0.74;0.05;1.08;0.33;0.44;7.82;0.33;0.45;0.49;0.22;0.08;0.13;0.24;8.67;0.11;0.0;0.18;0.25;1.1;0.0;0.05;5.79;0.0;0.04;4.07;0.5;0.4;1.08;0.1;1.2;0.16;1.51;5.11;0.42;0.34;0.47;0.08;0.08;12.0;11.7;0.11;7.4;0.34;0.18;0.07;9.05;0.25;0.0;5.98;0.01;7.11;0.37;2.38;0.58;0.01;0.01;2.13;0.18;0.56;0.44;0.71;0.25;0.97;12.42;0.11;0.14;0.7;2.93;0.85;0.12;0.47;0.29;0.53;1.33;0.52;0.4;0.01;0.68;0.18;5.26;0.06;6.14;0.13;2.23;7.18;0.06;0.02;0.31;0.31;1.01;0.11;0.03;0.07;0.08;18.08;0.66;0.5;0.76;0.56;0.83;0.2;4.64;22.25;0.09;0.06;0.53;1.02;0.08;0.99;3.8;0.84;1.22;0.41;0.09;0.83	0.04;0.2;0.63;0.28;0.25;0.34;3.35;2.43;0.06;0.68;0.14;0.17;1.33;0.99;0.79;0.53;1.71;1.75;1.58;1.24;0.31;3.48;1.21;0.15;1.04;2.02;2.56;0.68;3.06;0.15;0.66;0.9;0.14;0.21;0.23;0.1;0.98;1.85;0.59;1.3;0.81;3.97;0.13;0.67;0.95;1.51;0.27;3.34;1.34;0.37
HIFI_Gut_2	Hifi	metaflye	15	1.3398298730296019	407	36.354050554869865	77	2	0.026	19	1	0.053	0.09;0.39;0.22;0.29;0.34;0.07;0.56;0.18;0.23;0.96;0.1;0.29;1.27;0.15;0.12;0.06;6.16;0.05;0.06;0.15;0.3;0.04;0.1;0.0;0.52;1.45;0.31;0.51;0.0;0.02;0.96;0.38;10.39;0.0;2.18;0.48;1.35;0.29;0.58;0.1;0.15;0.07;0.32;0.9;0.31;0.19;0.11;0.11;0.17;0.26;1.55;2.42;0.0;0.39;0.25;0.59;0.08;0.03;0.63;0.13;0.07;3.39;4.72;0.06;0.95;0.1;0.14;0.92;3.14;0.66;0.18;0.08;0.95;0.07;0.11;1.14;0.38	0.26;0.14;1.21;0.99;1.45;1.33;0.2;1.04;0.17;7.18;1.64;0.13;0.23;0.6;2.55;0.51;1.76;0.23;0.63
HIFI_AD2W40	Hifi	metaMDBG_1.4	9	0.5816279752292091	4	0.2585013223240929	154	9	0.058	60	0	0.0	0.73;0.1;0.8;0.18;1.31;0.07;0.0;2.03;1.14;0.42;0.07;12.26;3.28;0.68;8.83;0.54;0.0;0.02;0.01;0.03;0.37;0.51;0.11;0.33;1.27;0.4;0.54;0.2;1.05;0.19;0.05;2.95;0.83;0.02;0.16;0.07;0.18;1.8;1.79;0.11;1.11;1.21;0.07;0.28;0.05;0.69;0.12;0.62;0.67;7.35;0.17;0.39;0.0;7.09;0.05;1.14;0.05;0.08;8.54;0.07;0.56;1.01;0.43;0.17;3.0;0.66;0.01;0.42;0.04;0.04;0.2;0.02;0.63;7.99;0.06;0.13;1.25;0.15;0.12;2.14;0.75;0.01;0.14;1.15;0.41;0.01;0.8;0.11;0.05;0.16;0.0;0.29;0.19;1.95;0.28;0.07;0.17;0.14;1.8;0.51;0.07;0.04;0.15;0.05;0.67;0.0;0.74;0.16;0.1;0.07;55.43;0.1;0.09;0.02;0.16;0.26;2.77;0.23;1.27;0.25;0.39;0.11;0.23;0.02;3.29;0.73;0.2;0.0;0.29;1.16;4.21;1.03;2.91;1.44;0.08;0.1;6.2;0.26;0.3;0.05;0.36;0.49;0.01;3.45;40.27;4.48;0.57;0.06;0.11;0.24;0.0;0.2;0.2;0.03	0.9;2.46;2.76;4.31;0.14;1.24;0.07;0.25;0.66;1.46;1.26;4.55;0.62;0.01;0.53;0.12;0.02;2.01;0.09;0.47;0.23;1.3;2.06;0.06;0.99;0.13;0.32;1.76;0.17;0.18;1.03;1.03;0.19;3.96;1.04;0.36;0.86;0.13;1.28;0.33;0.44;2.95;0.26;0.77;0.04;0.0;0.29;2.27;3.59;0.91;1.22;0.35;1.58;1.11;3.69;0.22;0.49;0.02;1.51;0.89
HIFI_AD2W40	Hifi	myloasm_0.5.1	27	1.2650772314422014	767	35.937564315413645	169	25	0.148	108	3	0.028	1.62;0.65;0.07;2.04;0.33;0.1;0.01;2.16;0.53;0.44;0.34;0.14;0.24;0.54;0.0;1.79;0.26;0.05;0.01;0.03;0.31;5.3;0.3;0.1;0.49;0.34;1.84;0.16;0.06;0.14;0.01;1.15;3.27;3.18;0.86;0.02;0.79;0.01;0.33;1.47;0.51;1.47;0.41;1.19;26.94;0.03;3.64;0.19;0.12;0.35;1.67;0.33;4.62;0.04;0.54;6.7;0.06;0.1;0.02;0.66;1.71;0.01;0.2;0.06;0.42;0.11;0.36;0.38;0.33;0.0;0.09;0.55;1.48;1.47;1.64;0.71;0.24;34.88;3.26;0.07;9.47;0.55;0.06;8.74;0.17;0.01;50.53;5.03;0.32;0.27;0.54;3.4;0.5;0.05;11.53;0.23;0.02;0.09;10.53;0.17;0.28;0.58;0.92;29.1;0.16;6.23;0.11;2.63;0.47;0.54;2.46;30.75;0.1;0.28;0.09;0.05;2.49;0.91;0.75;26.51;0.06;0.0;0.12;0.33;0.15;0.26;1.41;0.34;0.09;8.31;0.0;3.55;0.41;14.75;0.04;4.75;5.22;0.12;0.0;7.2;0.68;2.0;0.27;0.42;0.22;5.12;0.2;1.3;1.78;78.15;0.01;0.69;7.05;5.2;0.78;0.15;0.75;0.15;1.18;0.8;0.19;12.31;0.27;98.41;4.29;0.51;0.04;15.87;0.68	0.34;0.15;0.01;0.18;3.07;0.2;2.01;0.45;2.86;20.25;0.57;0.25;1.3;2.11;102.55;2.47;0.47;2.59;1.9;0.39;2.52;0.09;0.79;0.69;0.29;0.04;1.26;0.05;0.26;0.45;0.96;0.61;0.29;0.01;0.77;3.84;0.99;0.78;0.34;0.83;0.06;0.03;0.03;1.19;0.23;0.84;0.55;1.02;1.41;0.52;0.06;1.02;0.0;0.9;2.75;0.36;0.58;0.25;0.02;0.64;0.7;0.14;0.42;1.12;0.71;0.44;88.2;0.81;0.53;2.96;0.09;2.84;4.12;0.27;0.07;0.45;1.19;0.03;0.04;0.08;0.16;0.22;1.25;0.18;0.75;3.8;0.17;0.75;1.03;0.93;0.89;1.22;0.75;0.18;0.18;0.68;3.61;0.97;0.21;0.94;0.12;0.2;0.0;0.26;0.03;0.47;1.04;1.56
